epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,226.33,0.25036,0.34838,0.79914,0.96729,0.98509,0.97849,0.97489,0.18542,0.32268,0.76946,0.000456863,0.000456863,0.000456863
43,231.271,0.24365,0.35426,0.79348,0.9692,0.9874,0.9797,0.97475,0.18442,0.28023,0.76994,0.00044925,0.00044925,0.00044925
44,236.299,0.23631,0.34774,0.79831,0.96699,0.99272,0.98698,0.9843,0.17625,0.26593,0.768,0.000441637,0.000441637,0.000441637
45,241.196,0.23626,0.3497,0.79278,0.96683,0.98436,0.98839,0.98589,0.16618,0.34011,0.76779,0.000434024,0.000434024,0.000434024
46,246.181,0.22843,0.31724,0.79349,0.95407,0.9762,0.98795,0.9843,0.17345,0.30428,0.76983,0.000426411,0.000426411,0.000426411
47,251.105,0.23199,0.33592,0.79377,0.9742,0.96608,0.98696,0.98515,0.17606,0.30309,0.76809,0.000418797,0.000418797,0.000418797
48,256.113,0.22035,0.32767,0.79133,0.9845,0.96258,0.98431,0.98098,0.17566,0.2882,0.77004,0.000411184,0.000411184,0.000411184
49,260.935,0.22405,0.3436,0.79288,0.96568,0.98659,0.98052,0.97655,0.1895,0.28091,0.77061,0.000403571,0.000403571,0.000403571
50,265.731,0.23065,0.33092,0.791,0.95667,0.98881,0.98077,0.97418,0.19443,0.2916,0.77075,0.000395958,0.000395958,0.000395958
51,270.577,0.21845,0.32405,0.79299,0.94972,0.98862,0.97715,0.97502,0.16855,0.29021,0.769,0.000388345,0.000388345,0.000388345
52,275.464,0.22246,0.31764,0.79103,0.95735,0.97908,0.98001,0.9779,0.16859,0.28254,0.76869,0.000380732,0.000380732,0.000380732
53,280.204,0.21991,0.31367,0.79104,0.96872,0.97387,0.98286,0.982,0.17015,0.27401,0.77016,0.000373119,0.000373119,0.000373119
54,285.435,0.20963,0.31238,0.79346,0.97332,0.9703,0.98351,0.98208,0.16491,0.27523,0.76877,0.000365506,0.000365506,0.000365506
55,291.663,0.21662,0.31946,0.79047,0.9293,0.99488,0.98014,0.97888,0.15909,0.28282,0.76732,0.000357893,0.000357893,0.000357893
56,297.251,0.21103,0.31319,0.78986,0.96645,0.97965,0.98518,0.9831,0.15712,0.27128,0.76912,0.00035028,0.00035028,0.00035028
57,302.449,0.20923,0.30942,0.79102,0.97475,0.97793,0.98274,0.98145,0.17667,0.27165,0.76808,0.000342666,0.000342666,0.000342666
58,307.628,0.21252,0.31487,0.78939,0.95808,0.98658,0.98148,0.98008,0.15038,0.26762,0.76622,0.000335053,0.000335053,0.000335053
59,312.793,0.20144,0.30678,0.78608,0.96506,0.98675,0.98284,0.98135,0.15014,0.26935,0.76563,0.00032744,0.00032744,0.00032744
60,317.883,0.20105,0.2994,0.78923,0.96651,0.98353,0.9853,0.98426,0.1558,0.26054,0.76773,0.000319827,0.000319827,0.000319827
61,322.611,0.20505,0.30672,0.78841,0.9739,0.9874,0.98525,0.98418,0.16829,0.25572,0.76828,0.000312214,0.000312214,0.000312214
